EVENT_NAME	STATUS	EVENT_TYPE	EXECUTE_AT	INTERVAL_VALUE	INTERVAL_FIELD	LAST_EXECUTED
evt_process_academic_summary	ENABLED	RECURRING	NULL	1	MONTH	NULL
evt_process_attendance_summary	ENABLED	RECURRING	NULL	1	DAY	2026-08-18 02:18:23
evt_staff_appraisal_reminders	ENABLED	RECURRING	NULL	1	MONTH	NULL
evt_vehicle_maintenance_alerts	ENABLED	RECURRING	NULL	1	DAY	2026-08-18 02:18:23
ev_daily_attendance_report	ENABLED	RECURRING	NULL	1	DAY	2026-08-17 07:00:00
ev_monthly_competency_report_reminder	ENABLED	RECURRING	NULL	1	MONTH	NULL
ev_quarterly_csl_audit	ENABLED	RECURRING	NULL	1	QUARTER	NULL
ev_term_end_values_summary	ENABLED	RECURRING	NULL	1	QUARTER	NULL
ev_weekly_maintenance_notify	ENABLED	RECURRING	NULL	1	WEEK	2026-08-15 07:00:00
ev_yearly_portfolio_archive_reminder	ENABLED	RECURRING	NULL	1	YEAR	NULL
TABLE_NAME	INDEX_NAME	NON_UNIQUE	columns_in_index	cardinality
academic_capacity_config	PRIMARY	0	1	0
academic_capacity_config	uk_year_config	0	1	0
academic_capacity_reservations	fk_acr_stream	1	1	0
academic_capacity_reservations	fk_acr_term	1	1	0
academic_capacity_reservations	idx_class	1	1	0
academic_capacity_reservations	idx_status	1	1	0
academic_capacity_reservations	idx_year	1	1	0
academic_capacity_reservations	PRIMARY	0	1	0
academic_capacity_reservations	uk_application	0	1	0
academic_class_progression	idx_academic_class_progression_effective_from_academic_year_id	1	1	2
academic_class_progression	idx_academic_class_progression_target_class_id	1	1	11
academic_class_progression	PRIMARY	0	1	11
academic_class_progression	uk_progression	0	3	11
academic_years	PRIMARY	0	1	0
academic_years	uk_year_code	0	1	0
academic_year_archives	academic_year_archives_ibfk_1	1	1	0
academic_year_archives	idx_status	1	1	0
academic_year_archives	PRIMARY	0	1	0
academic_year_archives	uk_academic_year	0	1	0
academic_year_calendar	PRIMARY	0	1	36
academic_year_calendar	uk_term_week	0	2	36
academic_year_calendar_days	idx_academic_year_calendar_days_calendar_day_type_id	1	1	10
academic_year_calendar_days	PRIMARY	0	1	352
academic_year_calendar_days	uk_calendar_date	0	2	352
academic_year_classes	idx_academic_year_classes_class_id	1	1	12
academic_year_classes	PRIMARY	0	1	12
academic_year_classes	uk_year_class	0	2	12
academic_year_class_learning_areas	idx_academic_year_class_learning_areas_learning_area_id	1	1	94
academic_year_class_learning_areas	idx_academic_year_class_learning_areas_strand_id	1	1	2
academic_year_class_learning_areas	idx_academic_year_class_learning_areas_sub_strand_id	1	1	2
academic_year_class_learning_areas	PRIMARY	0	1	94
academic_year_class_learning_areas	uk_year_class_area	0	2	94
academic_year_class_learning_area_teachers	idx_academic_year_class_learning_area_teachers_academic_y6033	1	1	0
academic_year_class_learning_area_teachers	idx_academic_year_class_learning_area_teachers_staff_id	1	1	0
academic_year_class_learning_area_teachers	PRIMARY	0	1	0
academic_year_class_learning_area_teachers	uk_area_term_staff	0	4	0
academic_year_class_streams	idx_academic_year_class_streams_class_teacher_id	1	1	2
academic_year_class_streams	idx_academic_year_class_streams_room_id	1	1	2
academic_year_class_streams	idx_academic_year_class_streams_stream_id	1	1	4
academic_year_class_streams	PRIMARY	0	1	18
academic_year_class_streams	uk_year_class_stream	0	2	18
academic_year_fee_schedules	idx_academic_year_fee_schedules_academic_year_class_id	1	1	0
academic_year_fee_schedules	idx_academic_year_fee_schedules_academic_year_term_id	1	1	0
academic_year_fee_schedules	idx_academic_year_fee_schedules_fee_catalog_id	1	1	0
academic_year_fee_schedules	idx_academic_year_fee_schedules_student_type_id	1	1	0
academic_year_fee_schedules	PRIMARY	0	1	0
academic_year_fee_schedules	uk_year_term_class_type_fee	0	5	0
academic_year_terms	idx_academic_year_terms_term_id	1	1	3
academic_year_terms	PRIMARY	0	1	3
academic_year_terms	uk_year_term	0	2	3
activities	idx_category	1	1	2
activities	PRIMARY	0	1	2
activity_categories	idx_department	1	1	3
activity_categories	PRIMARY	0	1	3
activity_categories	uk_name	0	1	3
activity_participants	idx_activity_participants_staff_id	1	1	0
activity_participants	idx_activity_participants_student_academic_enrollment_id	1	1	0
activity_participants	PRIMARY	0	1	0
activity_participants	uk_activity_student	0	2	0
activity_resources	activity_id	1	1	2
activity_resources	idx_activity_resources_name	1	1	5
activity_resources	PRIMARY	0	1	5
activity_schedule	activity_schedule_ibfk_1	1	1	0
activity_schedule	idx_activity_schedule_day_of_week	1	1	0
activity_schedule	PRIMARY	0	1	0
activity_staff_participants	activity_staff_participants_ibfk_1	1	1	0
activity_staff_participants	PRIMARY	0	1	0
activity_staff_participants	staff_id	1	1	0
admission_applications	fk_admission_parent	1	1	1
admission_applications	idx_admission_applications_enrolled_student_id	1	1	1
admission_applications	idx_admission_applications_target_term_id	1	1	1
admission_applications	idx_education_level	1	1	1
admission_applications	idx_interview_id	1	1	1
admission_applications	idx_placement_id	1	1	1
admission_applications	idx_status_year	1	2	1
admission_applications	idx_web_application_id	1	1	1
admission_applications	PRIMARY	0	1	1
admission_applications	uk_application_no	0	1	1
admission_decisions	idx_application_id	1	1	0
admission_decisions	idx_decision	1	1	0
admission_decisions	idx_decision_at	1	1	0
admission_decisions	idx_decision_by	1	1	0
admission_decisions	PRIMARY	0	1	0
admission_documents	fk_doc_verifier	1	1	2
admission_documents	idx_application_doc	1	2	4
admission_documents	PRIMARY	0	1	4
admission_interviews	fk_interview_conducted_by	1	1	0
admission_interviews	idx_application_id	1	1	0
admission_interviews	idx_interviewer_id	1	1	0
admission_interviews	idx_scheduled_date	1	1	0
admission_interviews	idx_status	1	1	0
admission_interviews	PRIMARY	0	1	0
admission_placement_tests	fk_placement_test_recorded_by	1	1	0
admission_placement_tests	idx_application_id	1	1	0
admission_placement_tests	idx_test_code	1	1	0
admission_placement_tests	idx_test_date	1	1	0
admission_placement_tests	PRIMARY	0	1	0
admission_windows	idx_aw_academic_year_id	1	1	0
admission_windows	idx_aw_status	1	1	0
admission_windows	idx_aw_term_id	1	1	0
admission_windows	PRIMARY	0	1	0
albums	idx_albums_created_at	1	1	17
albums	idx_albums_name	1	1	17
albums	idx_albums_updated_at	1	1	17
albums	PRIMARY	0	1	17
announcements_bulletin	idx_announcement_type	1	1	0
announcements_bulletin	idx_published_at	1	1	0
announcements_bulletin	idx_status	1	1	0
announcements_bulletin	PRIMARY	0	1	0
announcements_bulletin	published_by	1	1	0
announcement_views	PRIMARY	0	1	0
announcement_views	uk_announcement_viewer	0	2	0
announcement_views	viewer_id	1	1	0
annual_scores	idx_academic_year	1	1	0
annual_scores	idx_annual_grade	1	1	0
annual_scores	idx_pathway_classification	1	1	0
annual_scores	PRIMARY	0	1	0
annual_scores	uk_student_year	0	2	0
api_tokens	idx_user_active	1	2	0
api_tokens	PRIMARY	0	1	0
api_tokens	uk_token	0	1	0
arrears_settlement_plans	idx_approved_by	1	1	0
arrears_settlement_plans	idx_arrears	1	1	0
arrears_settlement_plans	idx_created_by	1	1	0
arrears_settlement_plans	idx_status	1	1	0
arrears_settlement_plans	idx_student	1	1	0
arrears_settlement_plans	PRIMARY	0	1	0
assessments	idx_assessments_academic_year_calendar_day_id	1	1	0
assessments	idx_assessments_assessment_type_id	1	1	0
assessments	idx_assessments_coverage_id	1	1	0
assessments	idx_assessments_strand_id	1	1	0
assessments	idx_assessments_sub_strand_id	1	1	0
assessments	idx_aycs	1	1	0
assessments	idx_ayt	1	1	0
assessments	idx_la	1	1	0
assessments	PRIMARY	0	1	0
assessment_benchmarks	fk_ab_created_by	1	1	0
assessment_benchmarks	fk_ab_grade_level	1	1	0
