role_id,role,verb,path,module,api_method,handler,status,sources
2,System Administrator,GET,/dashboard/system-admin/auth-events,dashboard,getAuthEvents,Dashboard::getAuthEvents,ok,dashboard:system_administrator_dashboard
2,System Administrator,GET,/dashboard/system-admin/active-sessions,dashboard,getActiveSessions,Dashboard::getActiveSessions,ok,dashboard:system_administrator_dashboard
2,System Administrator,GET,/dashboard/system-admin/uptime,dashboard,getSystemUptime,Dashboard::getSystemUptime,ok,dashboard:system_administrator_dashboard
2,System Administrator,GET,/dashboard/system-admin/health-errors,dashboard,getSystemHealthErrors,Dashboard::getSystemHealthErrors,ok,dashboard:system_administrator_dashboard
2,System Administrator,GET,/dashboard/system-admin/health-warnings,dashboard,getSystemHealthWarnings,Dashboard::getSystemHealthWarnings,ok,dashboard:system_administrator_dashboard
2,System Administrator,GET,/dashboard/system-admin/api-load,dashboard,getAPIRequestLoad,Dashboard::getAPIRequestLoad,ok,dashboard:system_administrator_dashboard
2,System Administrator,GET,/users/index,users,index,Users::index,ok,item:1011
2,System Administrator,GET,/system/roles,system,getRoles,System::getRoles,ok,item:1011
2,System Administrator,PUT,/users/user/,users,update,Users::update,ok,item:1011
2,System Administrator,POST,/users/user,users,create,Users::create,ok,item:1011
2,System Administrator,DELETE,/users/user/,users,delete,Users::delete,ok,item:1011
2,System Administrator,GET,/system/school-config,system,getSchoolConfig,System::getSchoolConfig,ok,item:1016
2,System Administrator,POST,/system/school-config,system,updateSchoolConfig,System::updateSchoolConfig,ok,item:1016
2,System Administrator,GET,/system/backups,system,getBackups,System::getBackups,ok,item:1016
2,System Administrator,POST,/system/backups,system,createBackup,System::createBackup,ok,item:1016
2,System Administrator,DELETE,/system/backups,system,deleteBackup,System::deleteBackup,ok,item:1016
2,System Administrator,GET,/system/feature-flags,system,getFeatureFlags,System::getFeatureFlags,ok,item:1016
2,System Administrator,PUT,/system/feature-flags,system,updateFeatureFlags,System::updateFeatureFlags,ok,item:1016
