page,file,controller,roles,sidebar_items,n_api_calls,n_endpoints,n_unresolved,auth_ready,permission_guard,raw_fetch,inner_html,inner_html_interp,escape_html,xss_warn,bootstrap_modals,params_match,fix_task,flags,info_flags
academic_calendar,academic_calendar.php,academic_calendar.js,,,5,5,0,0,0,0,11,1,6,0,2,warn,,,NO_AUTH_GUARD
academic_reports,academic_reports.php,academic_reports.js,,,1,2,1,0,1,0,5,0,0,0,0,na,,,ESCAPED_LITERAL_HTML
academic_students,academic_students.php,,,,0,0,0,0,0,0,0,0,0,0,0,na,,,DELEGATION_STUB;NO_AUTH_GUARD;RENDER_ONLY
academic_years,academic_years.php,academic_years.js,,,8,8,0,0,0,0,8,1,6,0,3,OK,,,NO_AUTH_GUARD
account_settings,account_settings.php,account_settings.js,,,0,8,0,0,0,0,2,0,0,0,2,na,,,NO_AUTH_GUARD;ESCAPED_LITERAL_HTML
account_status,account_status.php,account_status.js,System Administrator,1012;100080,2,2,0,1,0,0,9,0,12,0,1,na,,,ESCAPED_LITERAL_HTML
active_sessions,active_sessions.php,active_sessions.js,System Administrator,1027,2,2,0,1,0,0,4,0,13,0,0,OK,,,ESCAPED_LITERAL_HTML
activities/admin_activities,activities/admin_activities.php,activities.js,,,2,2,0,0,0,0,6,0,30,0,0,na,,,NO_AUTH_GUARD;ESCAPED_LITERAL_HTML
activities/manager_activities,activities/manager_activities.php,activities.js,,,2,2,0,0,0,0,6,0,30,0,0,na,,,NO_AUTH_GUARD;ESCAPED_LITERAL_HTML
activities/operator_activities,activities/operator_activities.php,activities.js,,,2,2,0,0,0,0,6,0,30,0,0,na,,,NO_AUTH_GUARD;ESCAPED_LITERAL_HTML
activities/viewer_activities,activities/viewer_activities.php,activities.js,,,2,2,0,0,0,0,6,0,30,0,0,na,,,NO_AUTH_GUARD;ESCAPED_LITERAL_HTML
activity_audit_logs,activity_audit_logs.php,system/system_admin_console.js,System Administrator,1048;100108,57,57,0,0,0,0,5,0,15,0,1,na,,,NO_AUTH_GUARD;ESCAPED_LITERAL_HTML
add_results,add_results.php,add_results.js,,,7,8,0,0,0,0,6,1,5,0,0,OK,,,NO_AUTH_GUARD
adjustments,adjustments.php,adjustments.js,,,0,4,0,0,1,0,5,1,11,0,2,na,,,
admission_interviews,admission_interviews.php,admission_interviews.js,,,0,0,0,0,0,0,12,3,29,0,3,na,,,NO_AUTH_GUARD
admission_status,admission_status.php,,,,0,0,0,0,0,0,0,0,0,0,0,na,,,DELEGATION_STUB;NO_AUTH_GUARD;RENDER_ONLY
admissions/admin_admissions,admissions/admin_admissions.php,,,,0,0,0,0,0,0,0,0,0,0,0,na,,,DELEGATION_STUB;NO_AUTH_GUARD;RENDER_ONLY
admissions/admissions_base,admissions/admissions_base.php,admissions.js,,,18,18,0,1,0,0,24,0,0,0,12,OK,,,TEMPLATE_FRAGMENT;ESCAPED_LITERAL_HTML
admissions/director_admissions,admissions/director_admissions.php,,,,0,0,0,0,0,0,0,0,0,0,0,na,,,DELEGATION_STUB;NO_AUTH_GUARD;RENDER_ONLY
admissions/enrollment_confirmations,admissions/enrollment_confirmations.php,,,,0,0,0,0,0,0,0,0,0,0,0,na,,,DELEGATION_STUB;NO_AUTH_GUARD;RENDER_ONLY
admissions/manager_admissions,admissions/manager_admissions.php,,,,0,0,0,0,0,0,0,0,0,0,0,na,,,DELEGATION_STUB;NO_AUTH_GUARD;RENDER_ONLY
