role_id,role,scope,is_system,user_count,item_id,label,menu_type,parent,url,route,route_url,page,is_dashboard,controllers,n_endpoints,n_unresolved
2,System Administrator,system,1,1,1001,Dashboard,sidebar,,system_administrator_dashboard,system_administrator_dashboard,home.php?route=system_administrator_dashboard,components/dashboards/system_administrator_dashboard.php,1,system_administrator_dashboard.js,0,0
2,System Administrator,system,1,1,1011,User Accounts,sidebar,Identity & Access,manage_users,manage_users,home.php?route=manage_users,manage_users.php,,manage_users.js,5,0
2,System Administrator,system,1,1,1016,Route Registry,sidebar,Navigation & UI,route_registry,route_registry,home.php?route=route_registry,route_registry.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,1021,Domain Isolation,sidebar,Policy & Governance,domain_isolation_rules,domain_isolation_rules,home.php?route=domain_isolation_rules,domain_isolation_rules.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,1025,Authentication Logs,sidebar,Security Center,authentication_logs,authentication_logs,home.php?route=authentication_logs,authentication_logs.php,,authentication_logs.js,1,0
2,System Administrator,system,1,1,1030,System Health,sidebar,Monitoring,system_health,system_health,home.php?route=system_health,system_health.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,1035,System Settings,sidebar,Configuration,system_settings,system_settings,home.php?route=system_settings,system_settings.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,1039,Schema Registry,sidebar,Data Governance,migrations,migrations,home.php?route=migrations,migrations.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,1044,API Explorer,sidebar,Developer Tools,api_explorer,api_explorer,home.php?route=api_explorer,api_explorer.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,1048,Activity Logs,sidebar,Audit & Forensics,activity_audit_logs,activity_audit_logs,home.php?route=activity_audit_logs,activity_audit_logs.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,1002,Identity & Access,sidebar,,,,,,,,0,0
2,System Administrator,system,1,1,1012,Account Status,sidebar,Identity & Access,account_status,account_status,home.php?route=account_status,account_status.php,,account_status.js,2,0
2,System Administrator,system,1,1,1017,Sidebar Menus,sidebar,Navigation & UI,sidebar_menus,sidebar_menus,home.php?route=sidebar_menus,sidebar_menus.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,1022,Time-Bound Access,sidebar,Policy & Governance,time_bound_access,time_bound_access,home.php?route=time_bound_access,time_bound_access.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,1026,Failed Logins,sidebar,Security Center,failed_login_attempts,failed_login_attempts,home.php?route=failed_login_attempts,failed_login_attempts.php,,failed_login_attempts.js,1,0
2,System Administrator,system,1,1,1031,Error Logs,sidebar,Monitoring,error_logs,error_logs,home.php?route=error_logs,error_logs.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,1036,Feature Flags,sidebar,Configuration,feature_flags,feature_flags,home.php?route=feature_flags,feature_flags.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,1040,Migrations,sidebar,Data Governance,migrations,migrations,home.php?route=migrations,migrations.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,1045,Webhook Registry,sidebar,Developer Tools,webhook_registry,webhook_registry,home.php?route=webhook_registry,webhook_registry.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,1049,Permission Changes,sidebar,Audit & Forensics,permission_changes,permission_changes,home.php?route=permission_changes,permission_changes.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,100078,Dashboard,sidebar,Users & Roles,home.php?route=system_administrator_dashboard,system_administrator_dashboard,home.php?route=system_administrator_dashboard,components/dashboards/system_administrator_dashboard.php,1,system_administrator_dashboard.js,0,0
2,System Administrator,system,1,1,1013,Role Definitions,sidebar,Identity & Access,manage_roles,manage_roles,home.php?route=manage_roles,manage_roles.php,,manage_roles.js,6,0
2,System Administrator,system,1,1,1018,Dashboard Registry,sidebar,Navigation & UI,dashboard_registry,dashboard_registry,home.php?route=dashboard_registry,dashboard_registry.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,1023,Route Access Rules,sidebar,Policy & Governance,route_access_rules,route_access_rules,home.php?route=route_access_rules,route_access_rules.php,,system_admin_console.js,57,0
2,System Administrator,system,1,1,1027,Active Sessions,sidebar,Security Center,active_sessions,active_sessions,home.php?route=active_sessions,active_sessions.php,,active_sessions.js,2,0
2,System Administrator,system,1,1,1032,Background Jobs,sidebar,Monitoring,background_jobs,background_jobs,home.php?route=background_jobs,background_jobs.php,,system_admin_console.js,57,0
